±¸ºĞ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
¸¸µÎ,Æí¼ö,Summer Dumplings,Square dumplings filled with seasoned ground beef and vegetables. Served in the summer.
ÆíÀ°,ÆíÀ°,Pressed Meat,Beef or pork cooked in boiling water and pressed. Served in thin slices with seasoned soy sauce.
¸¶¸¥Âù,ÆíÆ÷,Ground Beef Jerky,"Minced beef that is seasoned, formed into flat patties, and dried."
¸é,Æò¾ç³Ã¸é,Pyeongyang-style Chilled Buckwheat Noodle Soup,"A soup of buckwheat noodles served in a chilled beef and radish broth and topped with sliced Korean pear, cold meats, white radish kimchi, and a hard¡©boiled egg. Originates in Pyeongyang, the North Korean capital."
¸¶¸¥Âù,Æ÷,Beef or Fish Jerky,"Dried meat or fish marinated in soy sauce, sugar, and black pepper."
¹ö¼¸·ù,Ç¥°í¹ö¼¸,Shiitake Mushroom,
"Àü,Àû",Ç¥°íÀü,Pan-fried Shiitake Mushroom,"Shiitake mushrooms coated in flour, dipped in an egg batter, and pan-fried. The mushroom is often filled with minced beef and other ingredients."
Ã¤¼Ò·ù,Ç²°íÃß,Young Green Chili Peppers,"Young green chili peppers that are picked before they turn red. Eaten fresh, or chopped and added to stews or stir-fries."
ÇÑ°ú,ÇÑ°ú,Traditional Sweets,Many types of traditional Korean sweets and cookies. They vary according to ingredients and preparation method.
±âÅ¸,ÇÑÁ¤½Ä,Korean Table d'Hote,"A traditional set menu of various dishes served with rice, soup, kimchi and side dishes."
È¸,ÇÑÄ¡(¹°)È¸,Raw Cuttle fish in Water,"Fresh cuttlefish cleaned, thinly sliced, and served in chilled water."
¹ä,ÇÑÄ¡È¸µ¤¹ä,Seasoned Raw Cuttle fish over Rice,Thin slices of fresh cuttlefish served over rice with vinegared red chili pepper paste and mixed before eating.
¸é,ÇÔÈï³Ã¸é,Hamheung-style Spicy Chilled Noodles,Chewy noodles made from potato starch and served chilled with a spicy chili sauce. The most popular version is topped with raw skate. This style of chilled noodles originates in the Hamheung region of North Korea.
Á×,ÇÕÀÚÁ×,Rice Porridge with Clams and Mussels,Rice porridge served with shelled clams and mussels and seasoned with garlic juice.
»ıÃ¤,ÇØ¹°°ÜÀÚÃ¤,Sliced Seafood with Mustard Sauce,"Julienned jellyfish, squid and cucumber dressed with a mustard sauce."
Âî°³,ÇØ¹°µÈÀåÂî°³,Thick Soybean Paste Stew with Seafood,"A thick soybean paste (doenjang) stew made with clams, shrimp, crab and other seafood."
"Àü,Àû",ÇØ¹°Àü,Pan-fried Seafood,"Scallops, clams, mussels, shrimp and oysters dipped in a flour and egg batter and pan-fried."
Àü°ñ,ÇØ¹°Àü°ñ,Seafood Hot Pot,"Seafood such as fish, clams, shrimp, and squid cooked in a hot pot with vegetables and beef."
Àü,ÇØ¹°ÆÄÀü,Seafood Pancake with Green Onion,Pancakes made of a flour and egg batter pan-fried with a layer of green onions and seafood.
ÆĞ·ù,ÇØ»ï,Sea Cucumber,"An Asian delicacy, in Korea the sea cucumber is usually served freshly sliced with a dipping sauce of vinegared red chili pepper paste. lt is also dried for preservation, then soaked in water and added to other seafood dishes."
È¸,ÇØ»ïÃÊÈ¸,Raw Sea Cucumber Slices,"Fresh sea cucumbers cleaned , sliced and served raw with vinegared soy sauce or a vinegared red chili pepper paste."
"±¹,ÅÁ",ÇØ»ïÅÁ,Sea Cucumber Soup,"A soup made of dried sea cucumbers soaked in water, seasoned, and cooked with minced beef, onions and cucumbers. Sometimes, the rehydrated sea cucumbers are cooked in a soup seasoned with soy sauce and sesame oil."
"±¹,ÅÁ",ÇØÀå±¹,Hangover Soup,"A thick soup made from ox bone broth with soybean paste(doenjang), soybean sprouts, white radish, green onions and sometimes ox blood. Also called early morning soup, it is a traditional home-style soup eaten alter a night of heavy drinking."
»ıÃ¤,ÇØÆÄ¸®³ÃÃ¤,Jellyfish Cold Plate,"A cold plate of thinly sliced jellyfish, cucumber, Korean pear and cold cuts mixed in a mustard sauce with garlic, soy sauce, vinegar and sugar."
¹ä,ÇêÁ¦»ñ¹ä,Andong-style Bibimbap,"A variation of bibimbap topped with cooked beef, mackerel, dubu (soybean curd / tofu), egg, white radish, spinach, soybean sprouts and other cooked vegetables and mixed together before eating. Traditionally served at the annual ancestor worship ceremonies in the village of Andong in southeastern Korea."
°ß°ú·ù,È£µÎ,Walnut(s),
Á¶¸²,È£µÎÁ¶¸²,Glazed Walnuts,"Seasoned beef sauteed on its own then simmered with walnuts until glazed. ln some cases, the beef is left out and the walnuts are glazed on their own."
Ã¤¼Ò·ù,È£¹Ú,Pumpkin (Squash),
¶±,È£¹Ú°íÁö¶±,Pumpkin Rice Cake,"A rice cake made of dried pumpkin mixed with glutinous rice flour, layered with red bean, and steamed. Popular in the southwestern region of Jeolla-do."
±èÄ¡,È£¹Ú±èÄ¡,Pumpkin Kimchi,A variation of the basic cabbage kimchi with sliced pumpkin added between the layers of cabbage leaves. This is a specialty of the Hwanghae-do region in North Korea and is popular as a base for kimchi stew.
³ª¹°,È£¹Ú³ª¹°,Squash Namul,"Summer squash julienned and sauteed with green chili peppers, garlic, sesame oil and soy sauce."
Á×,È£¹Ú¹ü¹÷,Pumpkin and Mixed Grain Porridge,"A thick porridge made of steamed and mashed pumpkin with glutinous rice flour, cooked red beans, and soybeans."
ººÀ½,È£¹ÚººÀ½,Sauteed Squash,"Squash sliced into half moons and pan-fried with pickled shrimp sauce, wild sesame oil, green onions, and garlic."
¼±,(¾Ö)È£¹Ú¼± / ¾ÖÈ£¹ÚÂò,Stuffed Summer Squash,"Squash lightly cooked, then slit lengthwise and stuffed with seasoned ground beef, sliced mushrooms, and julienned egg garnish. The stuffed squash is coated in starch, steamed, and served with a mustard sauce."
½Ó,È£¹ÚÀÙ½Ó,Pumpkin Leaf Wraps,Steamed pumpkin leaves used to wrap spoonfuls of rice and other food. Served with a red chili pepper paste sauce.
Àü,È£¹ÚÀü,Pan-fried Summer Squash,"Squash sliced into thin round pieces, coated in flour and egg batter, and pan-fried."
Á×,È£¹ÚÁ×,Pumpkin Porridge,"A porridge made of fully ripe pumpkins steamed and mashed, then mixed with wheat flour or glutinous rice flour and simmered until thick. Sweetened with sugar or red beans."
¾î·ù,È«¾î,Skate,
Âò,È«¾îÂò,Steamed Skate,"Skate steamed in soy sauce, garlic, red chili threads, green onions, sugar, black pepper and sesame oil. ln Jeolla-do, the skate is usually fermented before cooking. Also called hongeo-eosiuk."
È¸,È«¾îÈ¸,Spicy Skate in Vinegar,"Slices of fresh skate dipped in vinegar, then mixed with red chili pepper powder and other spices. This spicy skate is the main ingredient in Hamheung-style chilled noodles."
ÆĞ·ù,È«ÇÕ,Mussels,
"±¹,ÅÁ",È«ÇÕ¹Ì¿ª±¹,Seaweed Soup with Mussels,A soup made with seaweed and fresh mussels. Dried mussels are used when fresh ones are not available.
Á×,È«ÇÕÁ×,Rice Porridge with Mussels,A rice porridge with mussels and ground beef. A popular dish for the elderly and for babies starting on solid foods. Also called damchaejuk.
ÃÊ,È«ÇÕÃÊ,Braised Mussels,"Mussels braised in soy sauce, sugar, black pepper and sesame oil until reduced."
"Àü,Àû",È­¾çÀû,Beef and Vegetable Brochette (3),"Brochettes of beef, bellflower roots (doraji), carrots, shiitake mushrooms, cucumbers and other ingredients cut into strips, sauteed in soy sauce and sesame oil, then put onto skewers and pan-fried."
¶±,È­Àü,Pan-fried Sweet Rice Cake with Flower Petals,"Round, fiat rice cakes made of glutinous rice flour, decorated with minced jujubes (Korean dates) or petals of colorful flowers such as azalea, rose, chrysanthemum, and pan-fried. The fried cakes are sprinkled with sugar while still warm."
À½Ã»·ù,È­Ã¤,Korean Fruit Punch,A sweet drink made of various fruits in omija (fruit of the Chinese magnolia vine) punch sweetened with sugar or honey. Azalea petals are sometimes added for color.
±¸ÀÌ,È²ÅÂ±¸ÀÌ,Seasoned and Grilled Dried Pollack,"Freeze-dried pollack grilled with a seasoning of soy sauce, red chili pepper paste, green onions, garlic, sesame oil, sugar and black pepper."
È¸,È¸,Raw Seafood,"The word raw fish (hoe) usually refers to raw fish dishes similar to Japanese sashimi. However, hoe includes other raw or lightly cooked dishes including other seafoods and meats. Yukhoe refers to a raw beef (see Korean beef steak tartare) and sukhoe are dishes that are only lightly cooked (see parboild squid)."
¸é,È¸³Ã¸é,Spicy Chilled Noodles with Raw Skate,Hamheung-style buckwheat noodles mixed with a spicy sauce and topped with raw or fermented skate. Served cold.
¹ä,È¸µ¤¹ä,Raw Fish and Vegetables over Rice,Slices of raw fish and fresh vegetables served in a bowl over rice with vinegared red chili pepper paste. Mixed thoroughly before eating.
Á×,ÈæÀÓÀÚÁ×,Black Sesame and Rice Porridge,A porridge made of white rice and ground black sesame seeds. Popular as a high energy food.
¶±,Èò¶±,White Rice Cake,"Rice cake made from white rice flour. The rice cakes are steamed then beaten or kneaded to give them texture. The cakes can be made into cylindrical rice pasta, garaetteok or into square jeolpyeon."
Á×,ÈòÁ×,Rice Porridge,"A porridge made of white rice only. The rice is soaked in water, added to plenty of water (about 6-7 times of the amount of rice) then simmered over medium heat until thick."
